"servzip","latitude","longitude","CT","label"
NA,NA,NA,47,"NA Mtrs: 47"
5029,NA,NA,1,"5029 Mtrs: 1"
53005,43.060872,-88.09478,7071,"53005 Mtrs: 7071"
53007,43.10836,-88.06893,677,"53007 Mtrs: 677"
53008,43.018696,-88.302997,2,"53008 Mtrs: 2"
53012,43.305412,-87.99794,1390,"53012 Mtrs: 1390"
53017,43.199526,-88.26177,351,"53017 Mtrs: 351"
53018,43.05348,-88.39844,2633,"53018 Mtrs: 2633"
53021,43.483263,-87.98908,13,"53021 Mtrs: 13"
53022,43.219155,-88.12043,5995,"53022 Mtrs: 5995"
53023,43.777582,-88.10103,1,"53023 Mtrs: 1"
53024,43.32546,-87.94573,5998,"53024 Mtrs: 5998"
53027,43.313361,-88.37332,1,"53027 Mtrs: 1"
53029,43.132743,-88.34737,6912,"53029 Mtrs: 6912"
53033,43.233282,-88.2396,1,"53033 Mtrs: 1"
53036,43.178685,-88.5739,16,"53036 Mtrs: 16"
53040,43.52413,-88.19215,1,"53040 Mtrs: 1"
53045,43.055315,-88.1503,7302,"53045 Mtrs: 7302"
53046,43.153447,-88.16124,459,"53046 Mtrs: 459"
53051,43.151183,-88.11034,11850,"53051 Mtrs: 11850"
53054,NA,NA,1,"53054 Mtrs: 1"
53056,43.146023,-88.30975,103,"53056 Mtrs: 103"
53058,43.108775,-88.40276,1423,"53058 Mtrs: 1423"
53064,43.018696,-88.302997,35,"53064 Mtrs: 35"
53066,43.108241,-88.48935,4891,"53066 Mtrs: 4891"
53069,43.114118,-88.43771,408,"53069 Mtrs: 408"
53072,43.076953,-88.268,9033,"53072 Mtrs: 9033"
53074,43.40181,-87.88001,4348,"53074 Mtrs: 4348"
53076,43.265289,-88.20144,4,"53076 Mtrs: 4"
53080,43.394676,-87.95887,1798,"53080 Mtrs: 1798"
53089,43.14004,-88.22641,6125,"53089 Mtrs: 6125"
53091,43.502688,-88.43299,1,"53091 Mtrs: 1"
53092,43.223907,-87.95085,7631,"53092 Mtrs: 7631"
53094,43.170606,-88.73058,1,"53094 Mtrs: 1"
53095,43.40328,-88.18026,23,"53095 Mtrs: 23"
53097,43.234506,-88.00914,1915,"53097 Mtrs: 1915"
53103,42.886982,-88.20955,1334,"53103 Mtrs: 1334"
53104,42.551693,-88.04908,2117,"53104 Mtrs: 2117"
53105,42.662671,-88.28132,8274,"53105 Mtrs: 8274"
53108,42.825711,-87.94293,1334,"53108 Mtrs: 1334"
53109,42.535968,-88.144386,5,"53109 Mtrs: 5"
53110,42.948416,-87.86101,6522,"53110 Mtrs: 6522"
53114,42.60027,-88.74978,1,"53114 Mtrs: 1"
53118,42.991622,-88.47085,2305,"53118 Mtrs: 2305"
53119,42.881035,-88.47117,1830,"53119 Mtrs: 1830"
53120,42.797775,-88.40435,124,"53120 Mtrs: 124"
53122,43.050762,-88.0842,1994,"53122 Mtrs: 1994"
53126,42.778642,-87.96609,2485,"53126 Mtrs: 2485"
53127,42.960098,-88.374455,61,"53127 Mtrs: 61"
53129,42.937448,-87.99839,4754,"53129 Mtrs: 4754"
53130,42.941264,-88.05121,2605,"53130 Mtrs: 2605"
53132,42.896145,-88.00891,11323,"53132 Mtrs: 11323"
53138,42.66749,-88.541721,7,"53138 Mtrs: 7"
53139,42.691937,-88.12599,1145,"53139 Mtrs: 1145"
53140,42.60217,-87.82979,9506,"53140 Mtrs: 9506"
53142,42.559823,-87.87878,11395,"53142 Mtrs: 11395"
53143,42.56427,-87.83043,7517,"53143 Mtrs: 7517"
53144,42.601842,-87.87617,7910,"53144 Mtrs: 7910"
53145,NA,NA,3,"53145 Mtrs: 3"
53146,42.973663,-88.15414,2727,"53146 Mtrs: 2727"
53149,42.872477,-88.34409,6413,"53149 Mtrs: 6413"
53150,42.901235,-88.12464,8817,"53150 Mtrs: 8817"
53151,42.980163,-88.09438,10219,"53151 Mtrs: 10219"
53152,42.574616,-88.232632,5,"53152 Mtrs: 5"
53153,42.935259,-88.40501,891,"53153 Mtrs: 891"
53154,42.884347,-87.8992,10763,"53154 Mtrs: 10763"
53156,42.879242,-88.58987,2,"53156 Mtrs: 2"
53158,42.529075,-87.87201,5378,"53158 Mtrs: 5378"
53167,42.742629,-88.22308,149,"53167 Mtrs: 149"
53168,42.573081,-88.12444,3609,"53168 Mtrs: 3609"
53170,42.550263,-88.17065,891,"53170 Mtrs: 891"
53171,42.642298,-87.903161,15,"53171 Mtrs: 15"
53172,42.909816,-87.86395,7591,"53172 Mtrs: 7591"
53177,42.699169,-87.91692,2424,"53177 Mtrs: 2424"
53178,43.015999,-88.59572,1,"53178 Mtrs: 1"
53179,42.515668,-88.13454,2305,"53179 Mtrs: 2305"
53180,NA,NA,1,"53180 Mtrs: 1"
53181,42.515596,-88.25761,206,"53181 Mtrs: 206"
53182,42.696322,-88.04658,2715,"53182 Mtrs: 2715"
53183,43.002534,-88.37771,1015,"53183 Mtrs: 1015"
53184,42.532636,-88.59862,1,"53184 Mtrs: 1"
53185,42.798555,-88.19409,7015,"53185 Mtrs: 7015"
53186,43.015289,-88.20924,9538,"53186 Mtrs: 9538"
53187,43.018696,-88.302997,13,"53187 Mtrs: 13"
53188,43.020762,-88.26852,10494,"53188 Mtrs: 10494"
53189,42.967394,-88.264,8668,"53189 Mtrs: 8668"
53190,42.818747,-88.73279,1,"53190 Mtrs: 1"
53192,42.511818,-88.18285,81,"53192 Mtrs: 81"
53194,42.58098,-87.662878,1,"53194 Mtrs: 1"
53202,43.046213,-87.9005,2347,"53202 Mtrs: 2347"
53203,43.037963,-87.91548,9,"53203 Mtrs: 9"
53204,43.017414,-87.92625,8934,"53204 Mtrs: 8934"
53205,43.053763,-87.93473,2279,"53205 Mtrs: 2279"
53206,43.076179,-87.93476,8235,"53206 Mtrs: 8235"
53207,42.985465,-87.89998,14027,"53207 Mtrs: 14027"
53208,43.047863,-87.96618,8683,"53208 Mtrs: 8683"
53209,43.11941,-87.94727,14232,"53209 Mtrs: 14232"
53210,43.068962,-87.97423,8600,"53210 Mtrs: 8600"
53211,43.083012,-87.8859,9220,"53211 Mtrs: 9220"
53212,43.072062,-87.9103,9535,"53212 Mtrs: 9535"
53213,43.049012,-88.00012,9683,"53213 Mtrs: 9683"
53214,43.020363,-88.01273,12242,"53214 Mtrs: 12242"
53215,42.999364,-87.94343,16437,"53215 Mtrs: 16437"
53216,43.086711,-87.9749,10765,"53216 Mtrs: 10765"
53217,43.14351,-87.90894,9555,"53217 Mtrs: 9555"
53218,43.11096,-87.99436,12243,"53218 Mtrs: 12243"
53219,42.996614,-87.99213,12621,"53219 Mtrs: 12621"
53220,42.969115,-87.99141,8104,"53220 Mtrs: 8104"
53221,42.953915,-87.9457,11611,"53221 Mtrs: 11611"
53222,43.083261,-88.02823,9067,"53222 Mtrs: 9067"
53223,43.163692,-87.98717,8302,"53223 Mtrs: 8302"
53224,43.153865,-88.04032,5513,"53224 Mtrs: 5513"
53225,43.11576,-88.04121,6325,"53225 Mtrs: 6325"
53226,43.048545,-88.04239,5972,"53226 Mtrs: 5972"
53227,42.997647,-88.03717,7227,"53227 Mtrs: 7227"
53228,42.966681,-88.03798,4548,"53228 Mtrs: 4548"
53233,43.037313,-87.93373,810,"53233 Mtrs: 810"
53235,42.971156,-87.87452,2621,"53235 Mtrs: 2621"
53295,43.017412,-87.569664,13,"53295 Mtrs: 13"
53402,42.767286,-87.79747,11832,"53402 Mtrs: 11832"
53403,42.704519,-87.80062,8944,"53403 Mtrs: 8944"
53404,42.743169,-87.80534,4595,"53404 Mtrs: 4595"
53405,42.714369,-87.82424,9436,"53405 Mtrs: 9436"
53406,42.730807,-87.85827,9758,"53406 Mtrs: 9758"
53504,42.698173,-89.85736,1,"53504 Mtrs: 1"
54113,44.264904,-88.312,219,"54113 Mtrs: 219"
54130,44.293197,-88.25922,9,"54130 Mtrs: 9"
54136,44.268387,-88.33656,2207,"54136 Mtrs: 2207"
54140,44.286637,-88.31001,1,"54140 Mtrs: 1"
54656,43.96977,-90.80796,1,"54656 Mtrs: 1"
54903,44.06858,-88.644873,4,"54903 Mtrs: 4"
54911,44.276986,-88.39445,8849,"54911 Mtrs: 8849"
54913,44.322836,-88.40492,5806,"54913 Mtrs: 5806"
